date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:48:38	34293/34293	---MCZ	200	added ('OK')	text/html	date:Wed,%2025%20May%202016%2006:48:42%20GMT	https://antv.alipay.com/	G:/wamp/eCharts3/ali%20G2/antv/AntV/antv.alipay.com/index.html	(from )
14:48:38	93/93	---M--	302	error ('Found')	text/html	date:Wed,%2025%20May%202016%2006:48:38%20GMT	https://antv.alipay.com/robots.txt		(from )
14:48:38	2171/2171	---MCZ	200	added ('OK')	text/css	date:Thu,%2012%20May%202016%2008:58:31%20GMT	https://os.alipayobjects.com/rmsportal/kCUUeaMNGufqiDT.css	G:/wamp/eCharts3/ali%20G2/antv/AntV/os.alipayobjects.com/rmsportal/kCUUeaMNGufqiDT.css	(from https://antv.alipay.com/)
14:48:38	55258/55258	---M-Z	200	added ('OK')	text/css	date:Thu,%2012%20May%202016%2008:59:28%20GMT	https://os.alipayobjects.com/rmsportal/AiATVwcMTMRLdsC.css	G:/wamp/eCharts3/ali%20G2/antv/AntV/os.alipayobjects.com/rmsportal/AiATVwcMTMRLdsC.css	(from https://antv.alipay.com/)
14:48:39	22965/22965	---M-Z	200	added ('OK')	text/css	date:Mon,%2016%20May%202016%2009:17:05%20GMT	https://os.alipayobjects.com/rmsportal/gSINRNOdIGZOoDy.css?1463111516374	G:/wamp/eCharts3/ali%20G2/antv/AntV/os.alipayobjects.com/rmsportal/gSINRNOdIGZOoDy40b1.css	(from https://antv.alipay.com/)
14:48:39	1056/1056	---M--	200	added ('OK')	image/png	etag:%226B0F346AEB72BF8358AF10082B6066B0%22	https://os.alipayobjects.com/rmsportal/IhIZKOLdgNgzlaj.png	G:/wamp/eCharts3/ali%20G2/antv/AntV/os.alipayobjects.com/rmsportal/IhIZKOLdgNgzlaj.png	(from https://antv.alipay.com/)
14:48:39	95795/95795	---M-Z	200	added ('OK')	application/x-javascript	date:Mon,%2030%20Jun%202014%2012:50:13%20GMT	https://a.alipayobjects.com/jquery/jquery/1.11.1/jquery.js	G:/wamp/eCharts3/ali%20G2/antv/AntV/a.alipayobjects.com/jquery/jquery/1.11.1/jquery.js	(from https://antv.alipay.com/)
14:48:39	2002/2002	---M-Z	200	added ('OK')	application/x-javascript	date:Thu,%2012%20May%202016%2009:02:37%20GMT	https://os.alipayobjects.com/rmsportal/WXhljTcHlRAkjAu.js	G:/wamp/eCharts3/ali%20G2/antv/AntV/os.alipayobjects.com/rmsportal/WXhljTcHlRAkjAu.js	(from https://antv.alipay.com/)
14:48:39	357140/357140	---M-Z	200	added ('OK')	application/x-javascript	date:Thu,%2012%20May%202016%2006:00:33%20GMT	https://as.alipayobjects.com/g/datavis/g2/1.2.1/index.js	G:/wamp/eCharts3/ali%20G2/antv/AntV/as.alipayobjects.com/g/datavis/g2/1.2.1/index.js	(from https://antv.alipay.com/)
14:48:40	116005/116005	---MCZ	200	added ('OK')	application/x-javascript	date:Thu,%2012%20May%202016%2009:31:45%20GMT	https://os.alipayobjects.com/rmsportal/fLJXnXtkilXPVeT.js	G:/wamp/eCharts3/ali%20G2/antv/AntV/os.alipayobjects.com/rmsportal/fLJXnXtkilXPVeT.js	(from https://antv.alipay.com/)
